"Reference","Value","Datasheet","Footprint","Qty","DNP"
"C1","10nF","~","Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder","1",""
"C3,C6,C10,C12,C14,C16","100nF","~","Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder","6",""
"C2","1uF","~","Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder","1",""
"C11,C17","4.7uF","~","Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder","2",""
"C7","10uF","~","Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder","1",""
"R3,R4,R5,R6,R7,R8,R11","150","~","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","7",""
"R9","200","~","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","1",""
"R10","300","~","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","1",""
"R1,R2","10k","~","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","2",""
"RV1","10k","~","Potentiometer_THT:Potentiometer_Bourns_3339P_Vertical","1",""
"U5,U6","74HC595","http://www.ti.com/lit/ds/symlink/sn74hc595.pdf","74HC595N:SOT38-4_NXP","2",""
"U7","74LS08","http://www.ti.com/lit/gpn/sn74LS08","SN74LS08N:N14","1",""
"J4","Barrel_Jack","~","Connector_BarrelJack:BarrelJack_CUI_PJ-063AH_Horizontal","1",""
"J5","Conn_01x05","~","Connector_PinHeader_2.54mm:PinHeader_1x05_P2.54mm_Vertical","1",""
"J3","Conn_02x06_Counter_Clockwise","~","Connector_PinHeader_2.54mm:PinHeader_2x06_P2.54mm_Vertical","1",""
"U3","D24V22F5","https://engineering.purdue.edu/477grp1/Files/refs/d24v22f5.pdf","12V_2.2A_STEP-DOWN_D24V22F12:XDCR_12V_2.2A_STEP-DOWN_D24V22F12","1",""
"U1","D24V22F6","https://engineering.purdue.edu/477grp1/Files/refs/d24v22f6.pdf","12V_2.2A_STEP-DOWN_D24V22F12:XDCR_12V_2.2A_STEP-DOWN_D24V22F12","1",""
"J18","DC_DRIVER","~","Connector_PinHeader_2.54mm:PinHeader_1x02_P2.54mm_Vertical","1",""
"J2","EXTERNAL_BUTTON","~","Connector_PinHeader_2.54mm:PinHeader_1x02_P2.54mm_Vertical","1",""
"FB1","FerriteBead","~","Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder","1",""
"J13","HEADER","~","Connector_PinHeader_2.54mm:PinHeader_1x03_P2.54mm_Vertical","1",""
"J19","JOYSTICK","~","Connector_PinHeader_2.54mm:PinHeader_1x03_P2.54mm_Vertical","1",""
"U13","LD1117S33TR_SOT223","http://www.st.com/st-web-ui/static/active/en/resource/technical/document/datasheet/CD00000544.pdf","Package_TO_SOT_SMD:SOT-223-3_TabPin2","1",""
"D1,D2,D3,D4,D5,D6,D7,D8,D9","LED","~","LED_SMD:LED_0805_2012Metric_Pad1.15x1.40mm_HandSolder","9",""
"U2","MAX98357A","https://www.analog.com/media/en/technical-documentation/data-sheets/MAX98357A-MAX98357B.pdf","max98357A:MAX98347A_ADAFRUIT_I2S_BREAKOUT","1",""
"J20","SERVO","~","Connector_PinHeader_2.54mm:PinHeader_1x03_P2.54mm_Vertical","1",""
"U4","STM32F091RCTx","https://engineering.purdue.edu/477grp1/Files/refs/stm32f091cc.pdf","Package_QFP:LQFP-64_10x10mm_P0.5mm","1",""
"SW1","SW_Push","~","Button_Switch_THT:SW_PUSH_6mm","1",""
"J21","US0","~","Connector_PinHeader_2.54mm:PinHeader_1x04_P2.54mm_Vertical","1",""
"J22","US1","~","Connector_PinHeader_2.54mm:PinHeader_1x04_P2.54mm_Vertical","1",""
"J26","US2","~","Connector_PinHeader_2.54mm:PinHeader_1x04_P2.54mm_Vertical","1",""
"J27","US3","~","Connector_PinHeader_2.54mm:PinHeader_1x04_P2.54mm_Vertical","1",""
"J36","US4","~","Connector_PinHeader_2.54mm:PinHeader_1x04_P2.54mm_Vertical","1",""
"U8,U9,U10","~","","Package_DIP:DIP-12_W10.16mm","3",""
